,Datetime,Tweet Id,Text,Username,Retweet Count,Quote Count,Like Count,Quoted,Retweet,Mentioned Users
0,2022-12-31 18:00:39+00:00,1609248181870624772,"Did someone say party⁉️ 🥳🎉🎇

We've got you covered! Ring in the new year with Diary of a #WimpyKid: Rodrick Rules now streaming on @DisneyPlus! https://t.co/fHkkIvLmHM",DisneyStudios,24,3,216,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
1,2022-12-29 18:00:30+00:00,1608523367157579781,"Let's get this show on the road 🚐🎶

Gather your crew and rock out to Diary of a #WimpyKid: Rodrick Rules now streaming on @DisneyPlus! https://t.co/w7CGRiaZ1s",DisneyStudios,39,2,367,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
2,2022-12-28 19:00:00+00:00,1608175955582787593,"Expectation: 💤
Reality:  🏃‍♂️🦌🐘🦅

#NightAtTheMuseum: Kahmunrah Rises Again is now streaming only on @DisneyPlus. https://t.co/i8fjW4LUvJ",DisneyStudios,27,2,159,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
3,2022-12-28 18:00:02+00:00,1608160862442852355,"Giselle, what have you done? 🪄

#Disenchanted is now streaming on @DisneyPlus. https://t.co/KQTnDqAuqd",DisneyStudios,35,3,226,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
4,2022-12-28 01:20:27+00:00,1607909307336790018,Meet the voices behind #NightAtTheMuseum: Kahmunrah Rises Again. Streaming only on @DisneyPlus. 3/3 https://t.co/xlwT1FLMqE,DisneyStudios,32,6,246,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
5,2022-12-28 01:20:26+00:00,1607909303872286720,Meet the voices behind #NightAtTheMuseum: Kahmunrah Rises Again. Streaming only on @DisneyPlus. 2/3 https://t.co/uewQzr4OXF,DisneyStudios,41,4,274,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
6,2022-12-28 01:20:25+00:00,1607909301049516032,Meet the voices behind #NightAtTheMuseum: Kahmunrah Rises Again. Streaming only on @DisneyPlus. 1/3 https://t.co/3FP2Dbr5Mt,DisneyStudios,116,14,1112,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
7,2022-12-27 18:00:01+00:00,1607798468680028160,"He marches to the beat of his own drum 🥁🤘

This holiday, check out the star of this show in ✨Diary of a #WimpyKid: Rodrick Rules✨ now streaming on @DisneyPlus! https://t.co/87xzjQ8D3n",DisneyStudios,20,1,191,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
8,2022-12-25 18:00:02+00:00,1607073697747058689,"There's no better 🎁 this holiday!

Gather the family to stream Diary of a #WimpyKid: Rodrick Rules now on @DisneyPlus! 🎄 https://t.co/Bw6OIaQQVL",DisneyStudios,28,2,243,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
9,2022-12-24 19:00:00+00:00,1606726401020813317,D̶e̶c̶k̶ T-rex the halls this holiday season with #NightAtTheMuseum: Kahmunrah Rises Again 🦖🦴 Now streaming only on @DisneyPlus. https://t.co/dr96Zv8kM3,DisneyStudios,37,4,287,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
10,2022-12-24 18:00:00+00:00,1606711303690649606,"Have a rockin' holiday season the Heffley Bros way...❄️😎🤘

Grab your sibling to see Diary of a #WimpyKid: Rodrick Rules now streaming on @DisneyPlus. https://t.co/uVOjf4lxjK",DisneyStudios,20,2,178,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
11,2022-12-23 18:00:02+00:00,1606348923681083418,"See who was voted ""Most Likely To Be Rockstar"" in High School 👀🤘🎸

Check out this clip to find out and stream Diary of a #WimpyKid: Rodrick Rules on @DisneyPlus for the full scoop. https://t.co/QnCGxwvRUa",DisneyStudios,17,1,138,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
12,2022-12-22 22:00:00+00:00,1606046924250890240,"#TBT to a magical evening - Gabriella Baldacchino's first premiere! ✨

Catch her as Morgan in #Disenchanted, now streaming on @DisneyPlus. https://t.co/OZHKHDxpCC",DisneyStudios,38,5,287,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
13,2022-12-22 21:00:01+00:00,1606031831546990592,"How the holidays truly feel ❄️🎄🎁

Catch all the craziness in #NightAtTheMuseum: Kahmunrah Rises Again, now streaming only on @DisneyPlus. https://t.co/wQP923NAt1",DisneyStudios,28,2,180,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
14,2022-12-22 19:00:01+00:00,1606001632608542722,"Time for a festive #NightAtTheMuseum: Kahmunrah Rises Again sing-along 🎶🎄

Stream the Original film only on @DisneyPlus. https://t.co/jhpjSBMnM5",DisneyStudios,29,3,163,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
15,2022-12-22 18:00:00+00:00,1605986526441000960,"Put the pedal to the metal this holiday season...🚐💨❄️🤘🎸

....and stream Diary of a #WimpyKid: Rodrick Rules now on @DisneyPlus! https://t.co/pdZ0J50TQN",DisneyStudios,47,2,301,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
16,2022-12-22 07:04:27+00:00,1605821553358213120,Add #NightAtTheMuseum: Kahmunrah Rises Again to your holiday watchlist ❄️Now streaming only on @DisneyPlus. https://t.co/IZWRMbJ4AD,DisneyStudios,58,2,526,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
17,2022-12-20 20:00:01+00:00,1605291954304176148,"The Queen of Andalasia and our hearts 💗
 
#Disenchanted is now streaming on @DisneyPlus. 🎨: @edgarartis. https://t.co/CGqmDnSyth",DisneyStudios,50,3,466,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='EdgarArtis', id=703010235640774656, displayname='Edgar Artis', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
18,2022-12-20 18:00:02+00:00,1605261759266181120,"It’s the Heffley Brothers against the world 🤜🤛

See them in Diary of a #WimpyKid: Rodrick Rules now streaming on @DisneyPlus! https://t.co/ffZsrQ5dcV",DisneyStudios,17,1,146,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
19,2022-12-19 22:00:43+00:00,1604959943395725313,"Morgan entering her princess era.
 
#Disenchanted is now streaming on @DisneyPlus. https://t.co/DieCKcipEt",DisneyStudios,37,3,252,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
20,2022-12-19 19:23:22+00:00,1604920345160548362,"@idinamenzel @AIMenken Disney's Disenchanted, an Original movie, is now streaming only on @DisneyPlus.",DisneyStudios,18,1,104,,,"[User(username='idinamenzel', id=16008484, displayname='Idina Menzel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AIMenken', id=154984224, displayname='Alan Menken', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
21,2022-12-19 19:23:09+00:00,1604920287153487872,"What a powerful team!! 💖 What's your favorite lyric from ""Love Power,"" performed by @IdinaMenzel and written by @AIMenken and Stephen Schwartz?? ✨ Listen to the #Disenchanted soundtrack now: https://t.co/LrZJZgaeQb https://t.co/Fpx1sYzIjk",DisneyStudios,32,5,188,,,"[User(username='idinamenzel', id=16008484, displayname='Idina Menzel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='AIMenken', id=154984224, displayname='Alan Menken', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
22,2022-12-19 18:00:00+00:00,1604899364580708352,"Any plans during the holidays❓🎄 We have one for you 🤘 

Watch the Heffley Bros in Diary of a #WimpyKid: Rodrick Rules now on @DisneyPlus! https://t.co/ZQ95jCzqG3",DisneyStudios,22,1,144,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
23,2022-12-18 17:00:00+00:00,1604521878147801088,"Let it rip 🥁🥁🥁

Check out his mad skills in Diary of a #WimpyKid: Rodrick Rules now on @DisneyPlus! https://t.co/3JSCnWiO5I",DisneyStudios,23,2,180,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
24,2022-12-16 20:00:00+00:00,1603842400178393089,"Pip Pip Hooray! 🎉 Celebrate the holidays with #Disenchanted, now streaming on @DisneyPlus. https://t.co/Iev9hr41wq",DisneyStudios,47,3,299,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
25,2022-12-16 19:13:26+00:00,1603830681267671040,"𝑰𝒇 𝒘𝒆 𝒆𝒗𝒆𝒓 𝒏𝒆𝒆𝒅𝒆𝒅 𝒎𝒂𝒈𝒊𝒄, 𝒘𝒆 𝒄𝒐𝒖𝒍𝒅 𝒖𝒔𝒆 𝒊𝒕 𝒏𝒐𝒘...🪄 Watch the video for ""Love Power,"" performed by @IdinaMenzel from Disney's Disenchanted. 🎶✨ https://t.co/rKYaOggYVo 

#Disenchanted is now streaming on @DisneyPlus. https://t.co/LmhCFsgPeT",DisneyStudios,41,4,206,,,"[User(username='idinamenzel', id=16008484, displayname='Idina Menzel', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
26,2022-12-16 18:00:01+00:00,1603812205421641762,"💃🪩🕺

#NightAtTheMuseum: Kahmunrah Rises Again is now streaming only on @DisneyPlus. https://t.co/erUBIBEd9S",DisneyStudios,30,1,190,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
27,2022-12-16 17:00:01+00:00,1603797105038036993,"📲 Text Message: You're invited to...💬

Watch Diary of a #WimpyKid: Rodrick Rules now on @DisneyPlus! https://t.co/pRFFAxBald",DisneyStudios,16,1,100,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
28,2022-12-15 21:00:01+00:00,1603495114554281984,"You're invited to a celebration like no other! Be our guest for #BeautyAndTheBeast30th with H.E.R., Josh Groban, Shania Twain, and more, tonight at 8/7c on @ABCNetwork 💛 Stream next day on @DisneyPlus and @hulu. https://t.co/axmFNIN6HK",DisneyStudios,94,14,562,,,"[User(username='ABCNetwork', id=631478663, displayname='ABC', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='hulu', id=15033883, displayname='Hulu', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
29,2022-12-15 20:00:01+00:00,1603480014355324950,"Did you catch all the Easter eggs? 🥚 See how many you can find in #Disenchanted, now streaming on @DisneyPlus. https://t.co/jCstLXZe8V",DisneyStudios,25,3,176,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
30,2022-12-15 19:20:38+00:00,1603470102266945536,Tag a Robert in your life. #Disenchanted https://t.co/YKZjcwFjtU,DisneyStudios,30,5,269,,,
31,2022-12-15 18:22:07+00:00,1603455377244241920,"Catch #NightAtTheMuseum: Kahmunrah Rises Again, now streaming exclusively on @DisneyPlus. 🦖 https://t.co/bqSbwgTorq",DisneyStudios,34,1,225,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
32,2022-12-15 17:00:00+00:00,1603434712164315137,"🔊Turn up the volume for 🎵Can You Smell Us Now🎵

Rock out to Löded Diper in Diary of a #WimpyKid: Rodrick Rules now streaming on @DisneyPlus 🤘 https://t.co/MeY3BcOHV1",DisneyStudios,21,1,132,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
33,2022-12-14 21:00:02+00:00,1603132729796616193,"What's your favorite holiday tradition? Yvette Nicole Brown and Jayma Mays share how they like to spend their enchanted holidays. Catch them in #Disenchanted, now streaming on @DisneyPlus. https://t.co/yTDaRBlE4L",DisneyStudios,21,2,136,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
34,2022-12-14 20:00:01+00:00,1603117629392265220,"You may think you're bad, but, darling, I am badder. 🎶😈 ...Who's the baddest of them all? Watch Maya Rudolph and Amy Adams perform ""Badder"" from Disney's Disenchanted: https://t.co/JbTA5mOypv #Disenchanted is now streaming only on @DisneyPlus. https://t.co/YWosiT1CzJ",DisneyStudios,40,8,231,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
35,2022-12-14 19:00:01+00:00,1603102529042223104,"Once upon a time... 🪄✨ Watch as Amy Adams performs ""Fairytale Life (The Wish)"" from #Disenchanted. https://t.co/QnAEK5FcUa Disney's Disenchanted is now streaming, only on @DisneyPlus. https://t.co/YcWYVX79j8",DisneyStudios,28,1,130,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
36,2022-12-14 17:52:23+00:00,1603085505876611072,"Experience the night shift in #NightAtTheMuseum: Kahmunrah Rises Again, streaming exclusively on @DisneyPlus. 4/4 https://t.co/MCBX0ZTO0I",DisneyStudios,17,1,90,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
37,2022-12-14 17:52:15+00:00,1603085475681484800,"Experience the night shift in #NightAtTheMuseum: Kahmunrah Rises Again, streaming exclusively on @DisneyPlus. 3/4 https://t.co/70uwYimHkR",DisneyStudios,13,2,83,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
38,2022-12-14 17:52:09+00:00,1603085449219772416,"Experience the night shift in #NightAtTheMuseum: Kahmunrah Rises Again, streaming exclusively on @DisneyPlus. 2/4 https://t.co/P5K2YJIGBT",DisneyStudios,9,1,55,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
39,2022-12-14 17:52:02+00:00,1603085417376628736,"Experience the night shift in #NightAtTheMuseum: Kahmunrah Rises Again, streaming exclusively on @DisneyPlus. 1/4 https://t.co/PrGrbjxi5g",DisneyStudios,29,2,205,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
40,2022-12-14 17:00:03+00:00,1603072336361623557,"Perks of having a big brother 😎

Diary of a #WimpyKid: Rodrick Rules is now streaming on @DisneyPlus! https://t.co/hEzfiW790j",DisneyStudios,19,2,138,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
41,2022-12-13 21:00:00+00:00,1602770334414839808,"Once upon a time... 🪄✨ Watch as Amy Adams performs ""Fairytale Life (The Wish)"" from #Disenchanted. https://t.co/QnAEK5nBvA Disney's Disenchanted is now streaming, only on @DisneyPlus. https://t.co/mcXUWkO05V",DisneyStudios,28,1,194,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
42,2022-12-13 20:00:00+00:00,1602755235373621252,"A gown fit for a queen 👑

#Disenchanted is now streaming on @DisneyPlus. 🎨: @edgarartis https://t.co/IygxGCPmXu",DisneyStudios,24,1,173,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None), User(username='EdgarArtis', id=703010235640774656, displayname='Edgar Artis', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
43,2022-12-13 19:00:02+00:00,1602740143596523522,"#NightAtTheMuseum: Kahmunrah Rises Again slaps 🐒

Stream the Original movie now, only on @DisneyPlus. https://t.co/Pb705mS4wV",DisneyStudios,57,5,368,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
44,2022-12-13 17:58:03+00:00,1602724545961394176,"The museum is alive 😱

Stream #NightAtTheMuseum: Kahmunrah Rises Again now, only on @DisneyPlus. https://t.co/fZYPgYzlpt",DisneyStudios,32,2,224,,,"[User(username='DisneyPlus', id=985916593065476096, displayname='Disney+', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]"
45,2022-12-13 17:03:58+00:00,1602710934392565761,💡 https://t.co/xPXonZmVdS,DisneyStudios,9,1,85,,,
